Diffuse hair loss,hair loss
Hair falling out,hair loss
Hair loss,hair loss
Hair thinning,hair loss
Hairloss,hair loss
Increased hair shedding,hair loss
Losing hair,hair loss
Thinning hair,hair loss
Bifrontal headache,headaches
Bitemporal headache,headaches
Blurred vision,headaches
Blurry vision,headaches
Dull headache,headaches
Frontal HA,headaches
Frontal headache,headaches
Frontal throbbing,headaches
HA ,headaches
Head ache,headaches
Headache,headaches
Headaches,headaches
Light sensitivity,headaches
Mild frontal headache,headaches
Neck stiffness,headaches
Occipital headache,headaches
Phonophobia,headaches
Photophobia,headaches
Photophobia,headaches
Photophobic,headaches
Pounding headache,headaches
Terrible headache,headaches
Throbbing headache,headaches
Typical migraine,headaches
Visual changes,headaches
Visual disturbances,headaches
Cannot fall asleep,insomnia
Daytime somnolence,insomnia
Delayed sleep onset,insomnia
Difficulties falling asleep,insomnia
Difficulty falling asleep,insomnia
Difficulty staying asleep,insomnia
EDS,insomnia
Excessive daytime sleepiness,insomnia
Feeling unrested,insomnia
Frequent awakenings,insomnia
Having trouble falling asleep,insomnia
Insomnia,insomnia
Interrupted sleep,insomnia
Napping during the day,insomnia
Naps during day,insomnia
No restful sleep,insomnia
Not waking up refreshed ,insomnia
Poor sleep,insomnia
Sleep disturbance,insomnia
Sleep symptoms,insomnia
Sleeps during day,insomnia
Trouble falling asleep,insomnia
Trouble falling asleep,insomnia
Trouble sleeping,insomnia
Wake up at night,insomnia
Wakes frequently,insomnia
Wakes up frequently,insomnia
Arthralgia,joint pain
Arthritis,joint pain
Joint pain,joint pain
Joint stiffness,joint pain
JP,joint pain
Cognitive decline,memory loss
Cognitive deficit,memory loss
Cognitive deficits,memory loss
Cognitive dysfunction,memory loss
Cognitive impairment,memory loss
Difficulties with executive function ,memory loss
Difficulty finding words,memory loss
Long term memory loss,memory loss
Memory difficulties,memory loss
Memory impairment,memory loss
Memory loss,memory loss
Memory problems,memory loss
Mild cognitive impairment,memory loss
Occasional word finding difficulty,memory loss
Problem-solving difficulties,memory loss
Short term memory deficits,memory loss
Short term memory issues,memory loss
Trouble finding words,memory loss
Word finding difficulties,memory loss
Word finding difficulty,memory loss
Aches,muscle pain
Muscle aches,muscle pain
Myalgias,muscle pain
Bradycardia,palpitation
Heart palpitations,palpitation
Irregular heartbeats,palpitation
Occasional palpitations,palpitation
Palpations,palpitation
Palpitation,palpitation
Palpitations,palpitation
Palpitations,palpitation
Palpitations,palpitation
Palpitations,palpitation
Persistent tachycardia,palpitation
Persistently tachycardic,palpitation
Presyncope,palpitation
Racing heart,palpitation
Racing heart beat,palpitation
Sinus tachycardia,palpitation
SVT,palpitation
Tachcardia,palpitation
Tachycardia,palpitation
Tachycardia,palpitation
Tachycardiac ,palpitation
Tachycardic,palpitation
Congestion,rhinitis congestion
Sinus congestion,rhinitis congestion
An itchy rash,skin rash
Blotches,skin rash
Bug bites,skin rash
Bumpy,skin rash
Bumpy rash,skin rash
Hive-like,skin rash
Hive-like rash,skin rash
Hives,skin rash
Intensely itchy,skin rash
Itch,skin rash
Itches,skin rash
Itchiness,skin rash
Itching,skin rash
Itchy,skin rash
Itchy rash,skin rash
Macular rash ,skin rash
Mildly itchy,skin rash
Mildly pruritic,skin rash
Nonpruritic rash,skin rash
Papular rash,skin rash
Pimple like rash,skin rash
Pruritic rash,skin rash
Pruritus,skin rash
Prutitic,skin rash
Raised bumps,skin rash
Raised red bumps,skin rash
Rash,skin rash
Rash anywhere else,skin rash
Rash itches,skin rash
Red blotchy rash,skin rash
Red bumps,skin rash
Red bumpy rash,skin rash
Red bumpy rash,skin rash
Red dots,skin rash
Red itchy bumps,skin rash
Red itchy rash,skin rash
Red itchy rash,skin rash
Red raised bumps,skin rash
Red raised rash,skin rash
Red spots,skin rash
Slightly pruritic,skin rash
Small red dots,skin rash
Small red spots,skin rash
Spreading rash,skin rash
Very itchy,skin rash
Very pruritic,skin rash
Welts,skin rash
Ageusia,taste smell loss
Anosmia,taste smell loss
Cannot smell,taste smell loss
Cannot taste,taste smell loss
Can't smell,taste smell loss
Can't taste,taste smell loss
Distaste  ,taste smell loss
Dysgeusia,taste smell loss
Dysosmia,taste smell loss
Hypogeusia ,taste smell loss
Lack of olfactory sense,taste smell loss
Loss of Smell,taste smell loss
Loss of Taste,taste smell loss
Metallic taste,taste smell loss
Difficulties with thinking and concentration,thinking difficulty
Distracted ,thinking difficulty
Distractibility ,thinking difficulty
Impaired concentration,thinking difficulty
Poor attention,thinking difficulty
Poor concentration,thinking difficulty
Thinking difficulty,thinking difficulty
Trouble concentrating,thinking difficulty
